Property,Sizes
0.null.STAR_TREE.SIZE,"333329, 337109, 304685"
0.l_receiptdate.FORWARD_INDEX.SIZE,"105222, 197323, 96150"
0.l_shipdate.FORWARD_INDEX.SIZE,"105222, 197323, 96150"
0.l_shipmode.FORWARD_INDEX.SIZE,"35074, 65775, 32050"
0.l_returnflag.FORWARD_INDEX.SIZE,"11692, 21925, 10684"
0.sum__l_discount.FORWARD_INDEX.SIZE,"748644, 1403916, 684100"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"748644, 1403916, 684100"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"748644, 1403916, 684100"
