Property,Sizes
l_comment.dictionary.size,"214619544, 277201185, 277470967"
l_comment.forward_index.size,"19691588, 26160108, 26181590"
l_commitdate.dictionary.size,"3958, 5458, 5458"
l_commitdate.forward_index.size,"7705409, 11373965, 11383305"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"3424631, 4549591, 4553327"
l_extendedprice.dictionary.size,"9865304, 10134096, 10131408"
l_extendedprice.forward_index.size,"17979277, 23885317, 23904931"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"2568475, 3412195, 3414997"
l_linestatus.dictionary.size,"9, 9, 10"
l_linestatus.forward_index.size,"16, 16, 24"
l_orderkey.dictionary.size,"7617408, 10636020, 10642084"
l_orderkey.forward_index.size,"17979277, 25022712, 25043260"
l_partkey.dictionary.size,"7740976, 7916228, 7916556"
l_partkey.forward_index.size,"17979277, 23885317, 23904931"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"5136942, 6824382, 6829986"
l_receiptdate.dictionary.size,"3648, 3948, 3948"
l_receiptdate.forward_index.size,"7705409, 10236569, 10244975"
l_returnflag.dictionary.size,"9, 10, 11"
l_returnflag.forward_index.size,"16, 1137404, 2276668"
l_shipdate.dictionary.size,"3358, 3658, 3658"
l_shipdate.forward_index.size,"2688, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"1712320, 2274800, 2276668"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"2568475, 3412195, 3414997"
l_suppkey.dictionary.size,"400008, 400008, 400008"
l_suppkey.forward_index.size,"14554654, 19335734, 19351612"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"3424631, 4549591, 4553327"
l_receiptdate.inverted_index.size,"13730742, 18239342, 18254286"
