Property,Sizes
l_comment.dictionary.size,"277859515, 214619544, 277525061"
l_comment.forward_index.size,"26230611, 19691588, 26190226"
l_commitdate.dictionary.size,"5468, 3958, 5458"
l_commitdate.forward_index.size,"11404618, 7705409, 11387060"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"4561852, 3424631, 4554829"
l_extendedprice.dictionary.size,"10135496, 9865304, 10132032"
l_extendedprice.forward_index.size,"23949689, 17979277, 23912816"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"3421391, 2568475, 3416124"
l_linestatus.dictionary.size,"9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16"
l_orderkey.dictionary.size,"10661172, 7617408, 10646800"
l_orderkey.forward_index.size,"25090150, 17979277, 25051521"
l_partkey.dictionary.size,"7916960, 7740976, 7917000"
l_partkey.forward_index.size,"23949689, 17979277, 23912816"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"6842774, 5136942, 6832239"
l_receiptdate.dictionary.size,"3958, 3648, 3948"
l_receiptdate.forward_index.size,"10264157, 7705409, 10248355"
l_returnflag.dictionary.size,"9, 9, 10"
l_returnflag.forward_index.size,"16, 16, 1138714"
l_shipdate.dictionary.size,"3668, 3358, 3658"
l_shipdate.forward_index.size,"2936, 2688, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"2280930, 1712320, 2277419"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"3421391, 2568475, 3416124"
l_suppkey.dictionary.size,"400008, 400008, 400008"
l_suppkey.forward_index.size,"19387845, 14554654, 19357996"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"4561852, 3424631, 4554829"
