Property,Sizes
l_comment.dictionary.size,"28080943, 33577848, 25641940"
l_comment.forward_index.size,"1890888, 2287416, 1717113"
l_commitdate.dictionary.size,"4258, 5438, 3948"
l_commitdate.forward_index.size,"850904, 1143712, 772706"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"378184, 457490, 343429"
l_extendedprice.dictionary.size,"4047528, 4554648, 3804160"
l_extendedprice.forward_index.size,"1796344, 2287416, 1631258"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"283640, 343120, 257574"
l_linestatus.dictionary.size,"9, 10, 9"
l_linestatus.forward_index.size,"16, 24, 16"
l_orderkey.dictionary.size,"833012, 1067888, 763536"
l_orderkey.forward_index.size,"1701800, 2173046, 1545403"
l_partkey.dictionary.size,"781960, 791728, 774668"
l_partkey.forward_index.size,"1701800, 2058675, 1545403"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"567272, 686231, 515140"
l_receiptdate.dictionary.size,"3938, 3948, 3648"
l_receiptdate.forward_index.size,"850904, 1029342, 772706"
l_receiptdate.inverted_index.size,"1523216, 1840938, 1383376"
l_returnflag.dictionary.size,"10, 11, 9"
l_returnflag.forward_index.size,"94552, 228749, 16"
l_shipdate.dictionary.size,"3658, 3658, 3358"
l_shipdate.forward_index.size,"2928, 2928, 2688"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"189096, 228749, 171719"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"283640, 343120, 257574"
l_suppkey.dictionary.size,"40008, 40008, 40008"
l_suppkey.forward_index.size,"1323624, 1601194, 1201982"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"378184, 457490, 343429"
