Property,Sizes
l_comment.dictionary.size,"277237391, 277470967, 277525061"
l_comment.forward_index.size,"26168736, 26181590, 26190226"
l_commitdate.dictionary.size,"5458, 5458, 5458"
l_commitdate.forward_index.size,"11377716, 11383305, 11387060"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"4551091, 4553327, 4554829"
l_extendedprice.dictionary.size,"10130800, 10131408, 10132032"
l_extendedprice.forward_index.size,"23893194, 23904931, 23912816"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"3413321, 3414997, 3416124"
l_linestatus.dictionary.size,"9, 10, 9"
l_linestatus.forward_index.size,"16, 24, 16"
l_orderkey.dictionary.size,"10640820, 10642084, 10646800"
l_orderkey.forward_index.size,"25030965, 25043260, 25051521"
l_partkey.dictionary.size,"7916364, 7916556, 7917000"
l_partkey.forward_index.size,"23893194, 23904931, 23912816"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"6826633, 6829986, 6832239"
l_receiptdate.dictionary.size,"3948, 3948, 3948"
l_receiptdate.forward_index.size,"10239945, 10244975, 10248355"
l_returnflag.dictionary.size,"9, 11, 10"
l_returnflag.forward_index.size,"16, 2276668, 1138714"
l_shipdate.dictionary.size,"3658, 3658, 3658"
l_shipdate.forward_index.size,"2928, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"2275550, 2276668, 2277419"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"3413321, 3414997, 3416124"
l_suppkey.dictionary.size,"400008, 400008, 400008"
l_suppkey.forward_index.size,"19342111, 19351612, 19357996"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"4551091, 4553327, 4554829"
