"segment", "metadata size", segment_size
tpch_lineitem_1g_OFFLINE_0/v3/metadata.properties,10560,19M
tpch_lineitem_1g_OFFLINE_1/v3/metadata.properties,10557,23M
tpch_lineitem_1g_OFFLINE_2/v3/metadata.properties,10537,23M
tpch_lineitem_1g_OFFLINE_3/v3/metadata.properties,10540,22M
tpch_lineitem_1g_OFFLINE_4/v3/metadata.properties,10597,22M
tpch_lineitem_1g_OFFLINE_5/v3/metadata.properties,10565,22M
tpch_lineitem_1g_OFFLINE_6/v3/metadata.properties,10562,17M
