"segment", "metadata size", segment_size
tpch_lineitem_10g_bitmap_idx_OFFLINE_0/v3/metadata.properties,10205,168M
tpch_lineitem_10g_bitmap_idx_OFFLINE_1/v3/metadata.properties,10217,201M
tpch_lineitem_10g_bitmap_idx_OFFLINE_2/v3/metadata.properties,10185,201M
tpch_lineitem_10g_bitmap_idx_OFFLINE_3/v3/metadata.properties,10184,200M
tpch_lineitem_10g_bitmap_idx_OFFLINE_4/v3/metadata.properties,10216,200M
tpch_lineitem_10g_bitmap_idx_OFFLINE_5/v3/metadata.properties,10188,200M
tpch_lineitem_10g_bitmap_idx_OFFLINE_6/v3/metadata.properties,10198,152M
