"segment", "metadata size", segment_size
tpch_lineitem_10g_no_idx_OFFLINE_0/v3/metadata.properties,10197,168M
tpch_lineitem_10g_no_idx_OFFLINE_1/v3/metadata.properties,10209,201M
tpch_lineitem_10g_no_idx_OFFLINE_2/v3/metadata.properties,10177,201M
tpch_lineitem_10g_no_idx_OFFLINE_3/v3/metadata.properties,10176,200M
tpch_lineitem_10g_no_idx_OFFLINE_4/v3/metadata.properties,10208,200M
tpch_lineitem_10g_no_idx_OFFLINE_5/v3/metadata.properties,10180,200M
tpch_lineitem_10g_no_idx_OFFLINE_6/v3/metadata.properties,10190,152M
