"segment", "metadata size", segment_size
tpch_lineitem_1g_sort_idx_OFFLINE_1063/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1064/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1065/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1066/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1067/v3/metadata.properties,10142,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1068/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1069/v3/metadata.properties,10096,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_106/v3/metadata.properties,10114,76K	
tpch_lineitem_1g_sort_idx_OFFLINE_1070/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1071/v3/metadata.properties,10136,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1072/v3/metadata.properties,10102,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1073/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1074/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1075/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1076/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1077/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1078/v3/metadata.properties,10096,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1079/v3/metadata.properties,10134,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_107/v3/metadata.properties,10108,76K	
tpch_lineitem_1g_sort_idx_OFFLINE_1080/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1081/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1082/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1083/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1084/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1085/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1086/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1087/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1088/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1089/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_108/v3/metadata.properties,10108,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1090/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1091/v3/metadata.properties,10129,80K	
tpch_lineitem_1g_sort_idx_OFFLINE_1092/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1093/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1094/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1095/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1096/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1097/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1098/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1099/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_109/v3/metadata.properties,10111,76K	
tpch_lineitem_1g_sort_idx_OFFLINE_10/v3/metadata.properties,10081,16K	
tpch_lineitem_1g_sort_idx_OFFLINE_1100/v3/metadata.properties,10135,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1101/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1102/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1103/v3/metadata.properties,10106,84K	
