"segment", "metadata size", segment_size
tpch_lineitem_1g_sort_idx_OFFLINE_1568/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1569/v3/metadata.properties,10134,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_156/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1570/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1571/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1572/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1573/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1574/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1575/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1576/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1577/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1578/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1579/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_157/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1580/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1581/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1582/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1583/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1584/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1585/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1586/v3/metadata.properties,10142,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1587/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1588/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1589/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_158/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1590/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1591/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1592/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1593/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1594/v3/metadata.properties,10144,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1595/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1596/v3/metadata.properties,10094,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1597/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1598/v3/metadata.properties,10135,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1599/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_159/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_15/v3/metadata.properties,10078,16K	
tpch_lineitem_1g_sort_idx_OFFLINE_1600/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1601/v3/metadata.properties,10136,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1602/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1603/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1604/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1605/v3/metadata.properties,10137,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1606/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1607/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1608/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1609/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_160/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1610/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1611/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1612/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1613/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1614/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1615/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1616/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1617/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1618/v3/metadata.properties,10139,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1619/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_161/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1620/v3/metadata.properties,10101,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1621/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1622/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1623/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1624/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1625/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1626/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1627/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1628/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1629/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_162/v3/metadata.properties,10132,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1630/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1631/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1632/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1633/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1634/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1635/v3/metadata.properties,10101,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1636/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1637/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1638/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1639/v3/metadata.properties,10114,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_163/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1640/v3/metadata.properties,10139,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1641/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1642/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1643/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1644/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1645/v3/metadata.properties,10112,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1646/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1647/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1648/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1649/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_164/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1650/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1651/v3/metadata.properties,10143,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1652/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1653/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1654/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1655/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1656/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1657/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1658/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1659/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_165/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1660/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1661/v3/metadata.properties,10138,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1662/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1663/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1664/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1665/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1666/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1667/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1668/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1669/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_166/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1670/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1671/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1672/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1673/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1674/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1675/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1676/v3/metadata.properties,10102,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1677/v3/metadata.properties,10136,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1678/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1679/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_167/v3/metadata.properties,10144,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1680/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1681/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1682/v3/metadata.properties,10097,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1683/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1684/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1685/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1686/v3/metadata.properties,10144,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1687/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1688/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1689/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_168/v3/metadata.properties,10103,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1690/v3/metadata.properties,10102,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1691/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1692/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1693/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1694/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1695/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1696/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1697/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1698/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1699/v3/metadata.properties,10135,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_169/v3/metadata.properties,10094,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_16/v3/metadata.properties,10059,16K	
tpch_lineitem_1g_sort_idx_OFFLINE_1700/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1701/v3/metadata.properties,10153,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1702/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1703/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1704/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1705/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1706/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1707/v3/metadata.properties,10099,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1708/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1709/v3/metadata.properties,10105,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_170/v3/metadata.properties,10148,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1710/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1711/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1712/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1713/v3/metadata.properties,10146,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1714/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1715/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1716/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1717/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1718/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1719/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_171/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1720/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1721/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1722/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1723/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1724/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1725/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1726/v3/metadata.properties,10123,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1727/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1728/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1729/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_172/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1730/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1731/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1732/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1733/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1734/v3/metadata.properties,10149,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1735/v3/metadata.properties,10116,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1736/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1737/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1738/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1739/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_173/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1740/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1741/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1742/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1743/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1744/v3/metadata.properties,10098,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1745/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1746/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1747/v3/metadata.properties,10132,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1748/v3/metadata.properties,10126,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1749/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_174/v3/metadata.properties,10113,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1750/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1751/v3/metadata.properties,10121,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1752/v3/metadata.properties,10105,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1753/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1754/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1755/v3/metadata.properties,10139,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1756/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1757/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1758/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1759/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_175/v3/metadata.properties,10104,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1760/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1761/v3/metadata.properties,10106,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1762/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1763/v3/metadata.properties,10098,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1764/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1765/v3/metadata.properties,10139,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1766/v3/metadata.properties,10095,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1767/v3/metadata.properties,10140,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1768/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1769/v3/metadata.properties,10137,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_176/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1770/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1771/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1772/v3/metadata.properties,10120,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1773/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1774/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1775/v3/metadata.properties,10100,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1776/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1777/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1778/v3/metadata.properties,10106,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1779/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_177/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1780/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1781/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1782/v3/metadata.properties,10129,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1783/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1784/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1785/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1786/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1787/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1788/v3/metadata.properties,10124,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1789/v3/metadata.properties,10108,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_178/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1790/v3/metadata.properties,10138,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1791/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1792/v3/metadata.properties,10148,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1793/v3/metadata.properties,10108,92K	
tpch_lineitem_1g_sort_idx_OFFLINE_1794/v3/metadata.properties,10100,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1795/v3/metadata.properties,10102,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1796/v3/metadata.properties,10128,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1797/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1798/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1799/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_179/v3/metadata.properties,10143,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_17/v3/metadata.properties,10076,16K	
tpch_lineitem_1g_sort_idx_OFFLINE_1800/v3/metadata.properties,10091,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1801/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1802/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1803/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1804/v3/metadata.properties,10120,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1805/v3/metadata.properties,10122,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1806/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1807/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1808/v3/metadata.properties,10128,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1809/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_180/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1810/v3/metadata.properties,10134,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1811/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1812/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1813/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1814/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1815/v3/metadata.properties,10092,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1816/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1817/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1818/v3/metadata.properties,10104,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1819/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_181/v3/metadata.properties,10114,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1820/v3/metadata.properties,10127,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1821/v3/metadata.properties,10132,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1822/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1823/v3/metadata.properties,10117,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1824/v3/metadata.properties,10115,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1825/v3/metadata.properties,10124,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1826/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1827/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1828/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1829/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_182/v3/metadata.properties,10133,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1830/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1831/v3/metadata.properties,10100,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1832/v3/metadata.properties,10145,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1833/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1834/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1835/v3/metadata.properties,10140,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1836/v3/metadata.properties,10111,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1837/v3/metadata.properties,10116,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1838/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1839/v3/metadata.properties,10131,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_183/v3/metadata.properties,10100,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1840/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1841/v3/metadata.properties,10123,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1842/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1843/v3/metadata.properties,10127,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1844/v3/metadata.properties,10109,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1845/v3/metadata.properties,10111,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1846/v3/metadata.properties,10108,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1847/v3/metadata.properties,10103,84K	
