Property,Sizes
l_comment.dictionary.size,"33504834, 33442097, 28080943"
l_comment.forward_index.size,"2283726, 2278496, 1890888"
l_commitdate.dictionary.size,"5438, 5438, 4258"
l_commitdate.forward_index.size,"1141867, 1139252, 850904"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"456752, 455706, 378184"
l_extendedprice.dictionary.size,"4544024, 4541712, 4047528"
l_extendedprice.forward_index.size,"2283726, 2278496, 1796344"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"342566, 341782, 283640"
l_linestatus.dictionary.size,"9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16"
l_orderkey.dictionary.size,"1067284, 1065868, 833012"
l_orderkey.forward_index.size,"2169540, 2164572, 1701800"
l_partkey.dictionary.size,"791616, 791640, 781960"
l_partkey.forward_index.size,"2055354, 2050647, 1701800"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"685124, 683555, 567272"
l_receiptdate.dictionary.size,"3958, 3948, 3938"
l_receiptdate.forward_index.size,"1027681, 1025328, 850904"
l_returnflag.dictionary.size,"9, 9, 10"
l_returnflag.forward_index.size,"16, 16, 94552"
l_shipdate.dictionary.size,"3668, 3658, 3658"
l_shipdate.forward_index.size,"2936, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"228380, 227857, 189096"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"342566, 341782, 283640"
l_suppkey.dictionary.size,"40008, 40008, 40008"
l_suppkey.forward_index.size,"1598611, 1594950, 1323624"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"456752, 455706, 378184"
