name,table,run_name,time
filt_1,tpch_lineitem_1g_no_idx,run_0,0.9615375995635986
filt_1,tpch_lineitem_1g_no_idx,run_1,0.13632655143737793
filt_1,tpch_lineitem_1g_no_idx,run_2,0.17211627960205078
filt_1,tpch_lineitem_1g_no_idx,run_3,0.20791316032409668
filt_1,tpch_lineitem_1g_no_idx,run_4,0.19941425323486328
filt_1,tpch_lineitem_1g_no_idx,run_5,0.19516324996948242
filt_1,tpch_lineitem_1g_no_idx,run_6,0.1158146858215332
filt_1,tpch_lineitem_1g_no_idx,run_7,0.10875535011291504
filt_1,tpch_lineitem_1g_no_idx,run_8,0.1949312686920166
filt_1,tpch_lineitem_1g_no_idx,run_9,0.20904302597045898
filt_2,tpch_lineitem_1g_no_idx,run_0,0.2021348476409912
filt_2,tpch_lineitem_1g_no_idx,run_1,0.07745957374572754
filt_2,tpch_lineitem_1g_no_idx,run_2,0.0501551628112793
filt_2,tpch_lineitem_1g_no_idx,run_3,0.07474517822265625
filt_2,tpch_lineitem_1g_no_idx,run_4,0.05920219421386719
filt_2,tpch_lineitem_1g_no_idx,run_5,0.05949044227600098
filt_2,tpch_lineitem_1g_no_idx,run_6,0.057525634765625
filt_2,tpch_lineitem_1g_no_idx,run_7,0.05480694770812988
filt_2,tpch_lineitem_1g_no_idx,run_8,0.07669186592102051
filt_2,tpch_lineitem_1g_no_idx,run_9,0.05676913261413574
agg,tpch_lineitem_1g_no_idx,run_0,0.3534090518951416
agg,tpch_lineitem_1g_no_idx,run_1,0.09497737884521484
agg,tpch_lineitem_1g_no_idx,run_2,0.1108098030090332
agg,tpch_lineitem_1g_no_idx,run_3,0.09977149963378906
agg,tpch_lineitem_1g_no_idx,run_4,0.09546136856079102
agg,tpch_lineitem_1g_no_idx,run_5,0.10698270797729492
agg,tpch_lineitem_1g_no_idx,run_6,0.09667086601257324
agg,tpch_lineitem_1g_no_idx,run_7,0.0993039608001709
agg,tpch_lineitem_1g_no_idx,run_8,0.09563827514648438
agg,tpch_lineitem_1g_no_idx,run_9,0.09208917617797852
filt_3,tpch_lineitem_1g_no_idx,run_0,0.09414291381835938
filt_3,tpch_lineitem_1g_no_idx,run_1,0.06106376647949219
filt_3,tpch_lineitem_1g_no_idx,run_2,0.04952669143676758
filt_3,tpch_lineitem_1g_no_idx,run_3,0.05549740791320801
filt_3,tpch_lineitem_1g_no_idx,run_4,0.04958629608154297
filt_3,tpch_lineitem_1g_no_idx,run_5,0.059912681579589844
filt_3,tpch_lineitem_1g_no_idx,run_6,0.054075002670288086
filt_3,tpch_lineitem_1g_no_idx,run_7,0.05238652229309082
filt_3,tpch_lineitem_1g_no_idx,run_8,0.05046200752258301
filt_3,tpch_lineitem_1g_no_idx,run_9,0.048686981201171875
filt_4,tpch_lineitem_1g_no_idx,run_0,0.02886033058166504
filt_4,tpch_lineitem_1g_no_idx,run_1,0.029694795608520508
filt_4,tpch_lineitem_1g_no_idx,run_2,0.03259754180908203
filt_4,tpch_lineitem_1g_no_idx,run_3,0.049837589263916016
filt_4,tpch_lineitem_1g_no_idx,run_4,0.026854753494262695
filt_4,tpch_lineitem_1g_no_idx,run_5,0.02547454833984375
filt_4,tpch_lineitem_1g_no_idx,run_6,0.02450418472290039
filt_4,tpch_lineitem_1g_no_idx,run_7,0.0352022647857666
filt_4,tpch_lineitem_1g_no_idx,run_8,0.03635382652282715
filt_4,tpch_lineitem_1g_no_idx,run_9,0.03972291946411133
gb_1,tpch_lineitem_1g_no_idx,run_0,0.09325432777404785
gb_1,tpch_lineitem_1g_no_idx,run_1,0.09758353233337402
gb_1,tpch_lineitem_1g_no_idx,run_2,0.0633397102355957
gb_1,tpch_lineitem_1g_no_idx,run_3,0.06981348991394043
gb_1,tpch_lineitem_1g_no_idx,run_4,0.11417508125305176
gb_1,tpch_lineitem_1g_no_idx,run_5,0.09066581726074219
gb_1,tpch_lineitem_1g_no_idx,run_6,0.08034038543701172
gb_1,tpch_lineitem_1g_no_idx,run_7,0.10995650291442871
gb_1,tpch_lineitem_1g_no_idx,run_8,0.09431862831115723
gb_1,tpch_lineitem_1g_no_idx,run_9,0.0717318058013916
gb_2,tpch_lineitem_1g_no_idx,run_0,0.08211469650268555
gb_2,tpch_lineitem_1g_no_idx,run_1,0.06535100936889648
gb_2,tpch_lineitem_1g_no_idx,run_2,0.09253573417663574
gb_2,tpch_lineitem_1g_no_idx,run_3,0.06673669815063477
gb_2,tpch_lineitem_1g_no_idx,run_4,0.07934951782226562
gb_2,tpch_lineitem_1g_no_idx,run_5,0.0708456039428711
gb_2,tpch_lineitem_1g_no_idx,run_6,0.3409459590911865
gb_2,tpch_lineitem_1g_no_idx,run_7,0.05734610557556152
gb_2,tpch_lineitem_1g_no_idx,run_8,0.05557656288146973
gb_2,tpch_lineitem_1g_no_idx,run_9,0.05030417442321777
gb_filt_1,tpch_lineitem_1g_no_idx,run_0,0.07434439659118652
gb_filt_1,tpch_lineitem_1g_no_idx,run_1,0.059927940368652344
gb_filt_1,tpch_lineitem_1g_no_idx,run_2,0.06130218505859375
gb_filt_1,tpch_lineitem_1g_no_idx,run_3,0.06232500076293945
gb_filt_1,tpch_lineitem_1g_no_idx,run_4,0.06254863739013672
gb_filt_1,tpch_lineitem_1g_no_idx,run_5,0.06179308891296387
gb_filt_1,tpch_lineitem_1g_no_idx,run_6,0.05921459197998047
gb_filt_1,tpch_lineitem_1g_no_idx,run_7,0.06076216697692871
gb_filt_1,tpch_lineitem_1g_no_idx,run_8,0.05450296401977539
gb_filt_1,tpch_lineitem_1g_no_idx,run_9,0.05711174011230469
gb_filt_2,tpch_lineitem_1g_no_idx,run_0,0.09805083274841309
gb_filt_2,tpch_lineitem_1g_no_idx,run_1,0.06765890121459961
gb_filt_2,tpch_lineitem_1g_no_idx,run_2,0.07580900192260742
gb_filt_2,tpch_lineitem_1g_no_idx,run_3,0.07624602317810059
gb_filt_2,tpch_lineitem_1g_no_idx,run_4,0.0713813304901123
gb_filt_2,tpch_lineitem_1g_no_idx,run_5,0.07540559768676758
gb_filt_2,tpch_lineitem_1g_no_idx,run_6,0.0794062614440918
gb_filt_2,tpch_lineitem_1g_no_idx,run_7,0.08907628059387207
gb_filt_2,tpch_lineitem_1g_no_idx,run_8,0.0908365249633789
gb_filt_2,tpch_lineitem_1g_no_idx,run_9,0.06965851783752441
distinct,tpch_lineitem_1g_no_idx,run_0,0.033682823181152344
distinct,tpch_lineitem_1g_no_idx,run_1,0.04598212242126465
distinct,tpch_lineitem_1g_no_idx,run_2,0.02598714828491211
distinct,tpch_lineitem_1g_no_idx,run_3,0.03344559669494629
distinct,tpch_lineitem_1g_no_idx,run_4,0.02985405921936035
distinct,tpch_lineitem_1g_no_idx,run_5,0.027655601501464844
distinct,tpch_lineitem_1g_no_idx,run_6,0.031232833862304688
distinct,tpch_lineitem_1g_no_idx,run_7,0.03549551963806152
distinct,tpch_lineitem_1g_no_idx,run_8,0.024701356887817383
distinct,tpch_lineitem_1g_no_idx,run_9,0.03260946273803711
filt_1,tpch_lineitem_1g_bitmap_idx,run_0,0.360781192779541
filt_1,tpch_lineitem_1g_bitmap_idx,run_1,0.11948990821838379
filt_1,tpch_lineitem_1g_bitmap_idx,run_2,0.13882970809936523
filt_1,tpch_lineitem_1g_bitmap_idx,run_3,0.12622332572937012
filt_1,tpch_lineitem_1g_bitmap_idx,run_4,0.20064568519592285
filt_1,tpch_lineitem_1g_bitmap_idx,run_5,0.2392871379852295
filt_1,tpch_lineitem_1g_bitmap_idx,run_6,0.136122465133667
filt_1,tpch_lineitem_1g_bitmap_idx,run_7,0.11852073669433594
filt_1,tpch_lineitem_1g_bitmap_idx,run_8,0.11466479301452637
filt_1,tpch_lineitem_1g_bitmap_idx,run_9,0.2386634349822998
filt_2,tpch_lineitem_1g_bitmap_idx,run_0,0.2035377025604248
filt_2,tpch_lineitem_1g_bitmap_idx,run_1,0.053789615631103516
filt_2,tpch_lineitem_1g_bitmap_idx,run_2,0.05391812324523926
filt_2,tpch_lineitem_1g_bitmap_idx,run_3,0.08323049545288086
filt_2,tpch_lineitem_1g_bitmap_idx,run_4,0.05187654495239258
filt_2,tpch_lineitem_1g_bitmap_idx,run_5,0.06642293930053711
filt_2,tpch_lineitem_1g_bitmap_idx,run_6,0.06812858581542969
filt_2,tpch_lineitem_1g_bitmap_idx,run_7,0.10088181495666504
filt_2,tpch_lineitem_1g_bitmap_idx,run_8,0.058197975158691406
filt_2,tpch_lineitem_1g_bitmap_idx,run_9,0.05525779724121094
agg,tpch_lineitem_1g_bitmap_idx,run_0,0.18312907218933105
agg,tpch_lineitem_1g_bitmap_idx,run_1,0.09780406951904297
agg,tpch_lineitem_1g_bitmap_idx,run_2,0.10521817207336426
