Property,Sizes
l_comment.dictionary.size,"277525061, 235559684, 277859515, 277237391"
l_comment.forward_index.size,"26190226, 21837100, 26230611, 26168736"
l_commitdate.dictionary.size,"5458, 4258, 5468, 5458"
l_commitdate.forward_index.size,"11387060, 8544957, 11404618, 11377716"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"4554829, 3797763, 4561852, 4551091"
l_extendedprice.dictionary.size,"10132032, 9967560, 10135496, 10130800"
l_extendedprice.forward_index.size,"23912816, 19938222, 23949689, 23893194"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"3416124, 2848325, 3421391, 3413321"
l_linestatus.dictionary.size,"9, 9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16, 16"
l_orderkey.dictionary.size,"10646800, 8368656, 10661172, 10640820"
l_orderkey.forward_index.size,"25051521, 19938222, 25090150, 25030965"
l_partkey.dictionary.size,"7917000, 7821568, 7916960, 7916364"
l_partkey.forward_index.size,"23912816, 19938222, 23949689, 23893194"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"6832239, 5696641, 6842774, 6826633"
l_receiptdate.dictionary.size,"3948, 3948, 3958, 3948"
l_receiptdate.forward_index.size,"10248355, 8544957, 10264157, 10239945"
l_returnflag.dictionary.size,"10, 10, 9, 9"
l_returnflag.forward_index.size,"1138714, 949447, 16, 16"
l_shipdate.dictionary.size,"3658, 3658, 3668, 3658"
l_shipdate.forward_index.size,"2928, 2928, 2936, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"2277419, 1898886, 2280930, 2275550"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"3416124, 2848325, 3421391, 3413321"
l_suppkey.dictionary.size,"400008, 400008, 400008, 400008"
l_suppkey.forward_index.size,"19357996, 16140467, 19387845, 19342111"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"4554829, 3797763, 4561852, 4551091"
l_receiptdate.inverted_index.size,"18260534, 15226512, 18288648, 18245344"
