Property,Sizes
l_comment.dictionary.size,"235559684, 277859515, 214619544, 277201185"
l_comment.forward_index.size,"21837100, 26230611, 19691588, 26160108"
l_commitdate.dictionary.size,"4258, 5468, 3958, 5458"
l_commitdate.forward_index.size,"8544957, 11404618, 7705409, 11373965"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"3797763, 4561852, 3424631, 4549591"
l_extendedprice.dictionary.size,"9967560, 10135496, 9865304, 10134096"
l_extendedprice.forward_index.size,"19938222, 23949689, 17979277, 23885317"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"2848325, 3421391, 2568475, 3412195"
l_linestatus.dictionary.size,"9, 9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16, 16"
l_orderkey.dictionary.size,"8368656, 10661172, 7617408, 10636020"
l_orderkey.forward_index.size,"19938222, 25090150, 17979277, 25022712"
l_partkey.dictionary.size,"7821568, 7916960, 7740976, 7916228"
l_partkey.forward_index.size,"19938222, 23949689, 17979277, 23885317"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"5696641, 6842774, 5136942, 6824382"
l_receiptdate.dictionary.size,"3948, 3958, 3648, 3948"
l_receiptdate.forward_index.size,"8544957, 10264157, 7705409, 10236569"
l_returnflag.dictionary.size,"10, 9, 9, 10"
l_returnflag.forward_index.size,"949447, 16, 16, 1137404"
l_shipdate.dictionary.size,"3658, 3668, 3358, 3658"
l_shipdate.forward_index.size,"2928, 2936, 2688, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"1898886, 2280930, 1712320, 2274800"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"2848325, 3421391, 2568475, 3412195"
l_suppkey.dictionary.size,"400008, 400008, 400008, 400008"
l_suppkey.forward_index.size,"16140467, 19387845, 14554654, 19335734"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"3797763, 4561852, 3424631, 4549591"
