Property,Sizes
l_comment.dictionary.size,"277201185, 277470967, 277237391, 235559684"
l_comment.forward_index.size,"26160108, 26181590, 26168736, 21837100"
l_commitdate.dictionary.size,"5458, 5458, 5458, 4258"
l_commitdate.forward_index.size,"11373965, 11383305, 11377716, 8544957"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"4549591, 4553327, 4551091, 3797763"
l_extendedprice.dictionary.size,"10134096, 10131408, 10130800, 9967560"
l_extendedprice.forward_index.size,"23885317, 23904931, 23893194, 19938222"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"3412195, 3414997, 3413321, 2848325"
l_linestatus.dictionary.size,"9, 10, 9, 9"
l_linestatus.forward_index.size,"16, 24, 16, 16"
l_orderkey.dictionary.size,"10636020, 10642084, 10640820, 8368656"
l_orderkey.forward_index.size,"25022712, 25043260, 25030965, 19938222"
l_partkey.dictionary.size,"7916228, 7916556, 7916364, 7821568"
l_partkey.forward_index.size,"23885317, 23904931, 23893194, 19938222"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"6824382, 6829986, 6826633, 5696641"
l_receiptdate.dictionary.size,"3948, 3948, 3948, 3948"
l_receiptdate.forward_index.size,"10236569, 10244975, 10239945, 8544957"
l_returnflag.dictionary.size,"10, 11, 9, 10"
l_returnflag.forward_index.size,"1137404, 2276668, 16, 949447"
l_shipdate.dictionary.size,"3658, 3658, 3658, 3658"
l_shipdate.forward_index.size,"2928, 2928, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"2274800, 2276668, 2275550, 1898886"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"3412195, 3414997, 3413321, 2848325"
l_suppkey.dictionary.size,"400008, 400008, 400008, 400008"
l_suppkey.forward_index.size,"19335734, 19351612, 19342111, 16140467"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"4549591, 4553327, 4551091, 3797763"
