Property,Sizes
0.null.STAR_TREE.SIZE,"337109, 332405, 337109, 331341"
0.l_receiptdate.FORWARD_INDEX.SIZE,"196877, 104934, 196872, 187200"
0.l_shipdate.FORWARD_INDEX.SIZE,"196877, 104934, 196872, 187200"
0.l_shipmode.FORWARD_INDEX.SIZE,"65626, 34978, 65624, 62400"
0.l_returnflag.FORWARD_INDEX.SIZE,"21876, 11660, 21875, 20800"
0.sum__l_discount.FORWARD_INDEX.SIZE,"1400740, 746596, 1400704, 1331896"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"1400740, 746596, 1400704, 1331896"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"1400740, 746596, 1400704, 1331896"
