Property,Sizes
l_comment.dictionary.size,"28080943, 33442097, 33378371, 33352055"
l_comment.forward_index.size,"1890888, 2278496, 2273646, 2271811"
l_commitdate.dictionary.size,"4258, 5438, 5438, 5438"
l_commitdate.forward_index.size,"850904, 1139252, 1136827, 1135910"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"378184, 455706, 454736, 454369"
l_extendedprice.dictionary.size,"4047528, 4541712, 4531904, 4532592"
l_extendedprice.forward_index.size,"1796344, 2278496, 2273646, 2271811"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"283640, 341782, 341054, 340779"
l_linestatus.dictionary.size,"9, 9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16, 16"
l_orderkey.dictionary.size,"833012, 1065868, 1062560, 1059900"
l_orderkey.forward_index.size,"1701800, 2164572, 2159964, 2158221"
l_partkey.dictionary.size,"781960, 791640, 791512, 791032"
l_partkey.forward_index.size,"1701800, 2050647, 2046282, 2044631"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"567272, 683555, 682100, 681549"
l_receiptdate.dictionary.size,"3938, 3948, 3948, 3948"
l_receiptdate.forward_index.size,"850904, 1025328, 1023145, 1022320"
l_returnflag.dictionary.size,"10, 9, 10, 10"
l_returnflag.forward_index.size,"94552, 16, 113690, 113599"
l_shipdate.dictionary.size,"3658, 3658, 3658, 3658"
l_shipdate.forward_index.size,"2928, 2928, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"189096, 227857, 227372, 227189"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"283640, 341782, 341054, 340779"
l_suppkey.dictionary.size,"40008, 40008, 40008, 40008"
l_suppkey.forward_index.size,"1323624, 1594950, 1591555, 1590270"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"378184, 455706, 454736, 454369"
