Property,Sizes
0.null.STAR_TREE.SIZE,"332405, 336577, 334757, 337109"
0.l_receiptdate.FORWARD_INDEX.SIZE,"104934, 196494, 143923, 197323"
0.l_shipdate.FORWARD_INDEX.SIZE,"104934, 196494, 143923, 197323"
0.l_shipmode.FORWARD_INDEX.SIZE,"34978, 65498, 47975, 65775"
0.l_returnflag.FORWARD_INDEX.SIZE,"11660, 21833, 31983, 21925"
0.sum__l_discount.FORWARD_INDEX.SIZE,"746596, 1398016, 1023988, 1403916"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"746596, 1398016, 1023988, 1403916"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"746596, 1398016, 1023988, 1403916"
