Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,q0,10,0,7,20.4,6,118,0.0,47.076390892040806,0.0,7,7,8,30,120,120,120,120,120,120,120
,Aggregated,10,0,7,20.4,6,118,0.0,47.076390892040806,0.0,7,7,8,30,120,120,120,120,120,120,120
