Property,Sizes
0.null.STAR_TREE.SIZE,"21437, 21437, 21493, 21437"
0.l_receiptdate.FORWARD_INDEX.SIZE,"178636, 89969, 90214, 178631"
0.l_shipdate.FORWARD_INDEX.SIZE,"178636, 89969, 90214, 178631"
0.l_shipmode.FORWARD_INDEX.SIZE,"59546, 29990, 30072, 59544"
0.l_returnflag.FORWARD_INDEX.SIZE,"19849, 9997, 10024, 19848"
0.sum__l_discount.FORWARD_INDEX.SIZE,"1270960, 640124, 641872, 1270928"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"1270960, 640124, 641872, 1270928"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"1270960, 640124, 641872, 1270928"
