Property,Sizes
0.null.STAR_TREE.SIZE,"337109, 300121, 337109, 331341"
0.l_receiptdate.FORWARD_INDEX.SIZE,"196872, 93766, 196877, 187200"
0.l_shipdate.FORWARD_INDEX.SIZE,"196872, 93766, 196877, 187200"
0.l_shipmode.FORWARD_INDEX.SIZE,"65624, 31256, 65626, 62400"
0.l_returnflag.FORWARD_INDEX.SIZE,"21875, 10419, 21876, 20800"
0.sum__l_discount.FORWARD_INDEX.SIZE,"1400704, 667140, 1400740, 1331896"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"1400704, 667140, 1400740, 1331896"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"1400704, 667140, 1400740, 1331896"
