Property,Sizes
0.null.STAR_TREE.SIZE,"11189, 10349, 11189, 11189"
0.l_receiptdate.FORWARD_INDEX.SIZE,"178209, 79928, 178205, 126922"
0.l_shipdate.FORWARD_INDEX.SIZE,"178209, 79928, 178205, 126922"
0.l_shipmode.FORWARD_INDEX.SIZE,"59403, 26643, 59402, 42308"
0.l_returnflag.FORWARD_INDEX.SIZE,"19801, 8881, 19801, 28205"
0.sum__l_discount.FORWARD_INDEX.SIZE,"1267928, 568692, 1267896, 903032"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"1267928, 568692, 1267896, 903032"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"1267928, 568692, 1267896, 903032"
