Property,Sizes
0.null.STAR_TREE.SIZE,"338957, 339881, 2961605, 2762693"
0.l_receiptdate.FORWARD_INDEX.SIZE,"105372, 105659, 315216, 295209"
0.l_shipdate.FORWARD_INDEX.SIZE,"105372, 105659, 315216, 295209"
0.l_shipmode.FORWARD_INDEX.SIZE,"35124, 35220, 105072, 98403"
0.l_returnflag.FORWARD_INDEX.SIZE,"11708, 11740, 35024, 32801"
0.sum__l_discount.FORWARD_INDEX.SIZE,"749716, 751756, 2242688, 2100344"
0.sum__l_extendedprice.FORWARD_INDEX.SIZE,"749716, 751756, 2242688, 2100344"
0.sum__l_quantity.FORWARD_INDEX.SIZE,"749716, 751756, 2242688, 2100344"
