Property,Sizes
l_comment.dictionary.size,"33378371, 25641940, 33352055, 28080943"
l_comment.forward_index.size,"2273646, 1717113, 2271811, 1890888"
l_commitdate.dictionary.size,"5438, 3948, 5438, 4258"
l_commitdate.forward_index.size,"1136827, 772706, 1135910, 850904"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"454736, 343429, 454369, 378184"
l_extendedprice.dictionary.size,"4531904, 3804160, 4532592, 4047528"
l_extendedprice.forward_index.size,"2273646, 1631258, 2271811, 1796344"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"341054, 257574, 340779, 283640"
l_linestatus.dictionary.size,"9, 9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16, 16"
l_orderkey.dictionary.size,"1062560, 763536, 1059900, 833012"
l_orderkey.forward_index.size,"2159964, 1545403, 2158221, 1701800"
l_partkey.dictionary.size,"791512, 774668, 791032, 781960"
l_partkey.forward_index.size,"2046282, 1545403, 2044631, 1701800"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"682100, 515140, 681549, 567272"
l_receiptdate.dictionary.size,"3948, 3648, 3948, 3938"
l_receiptdate.forward_index.size,"1023145, 772706, 1022320, 850904"
l_returnflag.dictionary.size,"10, 9, 10, 10"
l_returnflag.forward_index.size,"113690, 16, 113599, 94552"
l_shipdate.dictionary.size,"3658, 3358, 3658, 3658"
l_shipdate.forward_index.size,"2928, 2688, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"227372, 171719, 227189, 189096"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"341054, 257574, 340779, 283640"
l_suppkey.dictionary.size,"40008, 40008, 40008, 40008"
l_suppkey.forward_index.size,"1591555, 1201982, 1590270, 1323624"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"454736, 343429, 454369, 378184"
